Source Host,Destination Host,Packets Sent (No Load),Packet Loss (No Load),Packet Delivery Ratio (No Load),Delay (No Load),Test Duration (No Load),Bytes Sent (No Load),Throughput (No Load),CPU Usage (No Load),Memory Usage (No Load),Temperature (No Load),Packets Sent (Low Load),Packet Loss (Low Load),Packet Delivery Ratio (Low Load),Delay (Low Load),Bytes Transferred (Low Load),Throughput (Low Load),CPU Usage (Low Load),Memory Usage (Low Load),Temperature (Low Load),Packets Sent (Normal Load),Packet Loss (Normal Load),Packet Delivery Ratio (Normal Load),Delay (Normal Load),Bytes Transferred (Normal Load),Throughput (Normal Load),CPU Usage (Normal Load),Memory Usage (Normal Load),Temperature (Normal Load),Packets Sent (High Load),Packet Loss (High Load),Packet Delivery Ratio (High Load),Delay (High Load),Bytes Transferred (High Load),Throughput (High Load),CPU Usage (High Load),Memory Usage (High Load),Temperature (High Load)
rasp2,rasp3,500,0%,100.0%,7.724 ms,10000 ms,72.3 MBytes,7.58 MB/s (60.60 Mbps),28.6,4.46152,45.7,500,0%,100.0%,7.550 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),33.3,4.29434,45.7,500,0%,100.0%,25.013 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),37.5,4.32359,47.7,500,32.6%,67.4%,145.083 ms,74.50 MBytes,7.81 MB/s (62.50 Mbps),62.5,4.3922,47.7
rasp2,rasp3,100,0%,100.0%,7.628 ms,10000 ms,72.4 MBytes,7.58 MB/s (60.60 Mbps),33.3,4.45277,46.7,100,0%,100.0%,7.580 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),30,4.46637,47.2,100,0%,100.0%,25.746 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),16.7,4.42629,47.2,100,34%,66.0%,121.344 ms,74.80 MBytes,7.84 MB/s (62.70 Mbps),20,4.39127,48.7
rasp2,rasp3,50,0%,100.0%,7.495 ms,10000 ms,72.4 MBytes,7.58 MB/s (60.60 Mbps),44.4,4.44319,48.2,50,0%,100.0%,7.470 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),12.5,4.43742,47.7,50,0%,100.0%,25.276 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),33.3,4.33008,48.2,50,46%,54.0%,129.183 ms,74.80 MBytes,7.84 MB/s (62.70 Mbps),28.6,4.3821,47.2
rasp2,rasp3,10,0%,100.0%,7.065 ms,10000 ms,72.3 MBytes,7.56 MB/s (60.50 Mbps),20,4.4198,47.2,10,0%,100.0%,7.008 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),30,4.44957,48.2,10,0%,100.0%,25.696 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),22.2,4.34285,48.2,10,10%,90.0%,69.164 ms,74.90 MBytes,7.85 MB/s (62.80 Mbps),66.7,4.334,49.1
rasp2,rasp3,5,0%,100.0%,7.372 ms,10000 ms,72.8 MBytes,7.61 MB/s (60.90 Mbps),25,4.43804,50.1,5,0%,100.0%,6.341 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),25,4.36129,49.1,5,0%,100.0%,23.919 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),14.3,4.39137,49.1,5,0%,100.0%,47.907 ms,75.00 MBytes,7.86 MB/s (62.90 Mbps),33.3,4.30938,50.1
rasp3,rasp1,5000,0%,100.0%,7.502 ms,10000 ms,72.5 MBytes,7.59 MB/s (60.70 Mbps),23.1,4.50387,46.2,5000,0%,100.0%,7.275 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),50,4.47874,46.7,5000,0%,100.0%,24.376 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),20,4.45897,50.6,5000,33.42%,66.58%,146.733 ms,74.60 MBytes,7.83 MB/s (62.60 Mbps),27.3,4.37051,53.5
rasp3,rasp1,1000,0%,100.0%,7.458 ms,10000 ms,72.9 MBytes,7.64 MB/s (61.10 Mbps),25,4.47689,47.7,1000,0%,100.0%,7.310 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),25,4.40192,47.2,1000,0%,100.0%,23.955 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),20,4.3459,49.6,1000,40.5%,59.5%,147.964 ms,74.50 MBytes,7.81 MB/s (62.50 Mbps),37.5,4.41325,51.1
rasp3,rasp1,500,0%,100.0%,7.427 ms,10000 ms,73.2 MBytes,7.66 MB/s (61.30 Mbps),25,4.4529,47.2,500,0%,100.0%,7.325 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),27.3,4.46196,47.7,500,0%,100.0%,24.257 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),40,4.43652,48.7,500,31.2%,68.8%,138.956 ms,75.50 MBytes,7.91 MB/s (63.30 Mbps),30,4.42118,51.6
rasp3,rasp1,100,0%,100.0%,7.400 ms,10000 ms,72.3 MBytes,7.56 MB/s (60.50 Mbps),30.8,4.45042,47.7,100,0%,100.0%,7.204 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),23.1,4.36279,49.1,100,0%,100.0%,25.253 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),20,4.36917,51.6,100,35%,65.0%,127.598 ms,74.90 MBytes,7.85 MB/s (62.80 Mbps),22.2,4.38369,51.1
rasp3,rasp1,50,0%,100.0%,7.480 ms,10000 ms,72.7 MBytes,7.61 MB/s (60.90 Mbps),23.1,4.46886,49.1,50,0%,100.0%,7.303 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),33.3,4.47545,49.6,50,0%,100.0%,24.705 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),20,4.47081,50.6,50,24%,76.0%,103.933 ms,75.20 MBytes,7.89 MB/s (63.10 Mbps),25,4.28556,51.1
rasp3,rasp1,10,0%,100.0%,7.605 ms,10000 ms,73.0 MBytes,7.64 MB/s (61.10 Mbps),23.1,4.44816,50.6,10,0%,100.0%,7.549 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),33.3,4.40017,51.6,10,0%,100.0%,24.764 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),25,4.38658,51.1,10,0%,100.0%,65.702 ms,75.00 MBytes,7.86 MB/s (62.90 Mbps),20,4.39152,53.5
rasp3,rasp1,5,0%,100.0%,7.313 ms,10000 ms,72.4 MBytes,7.58 MB/s (60.60 Mbps),20,4.37072,51.6,5,0%,100.0%,7.515 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),40,4.43467,50.6,5,0%,100.0%,25.163 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),20,4.26795,52.1,5,0%,100.0%,45.815 ms,75.40 MBytes,7.90 MB/s (63.20 Mbps),50,4.43858,52.5
rasp3,rasp2,5,0%,100.0%,7.445 ms,10000 ms,72.4 MBytes,7.58 MB/s (60.60 Mbps),25,4.46216,54.5,5,0%,100.0%,7.576 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),30,4.47133,52.5,5,0%,100.0%,24.044 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),40,4.40326,51.6,5,0%,100.0%,44.823 ms,74.90 MBytes,7.85 MB/s (62.80 Mbps),22.2,4.38462,52.5
rasp3,rasp2,10,0%,100.0%,6.961 ms,10000 ms,72.7 MBytes,7.61 MB/s (60.90 Mbps),33.3,4.42509,52.1,10,0%,100.0%,7.175 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),20,4.39152,52.5,10,0%,100.0%,28.176 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),40,4.38328,52.5,10,20%,80.0%,91.269 ms,75.10 MBytes,7.88 MB/s (63.00 Mbps),33.3,4.39193,54.0
rasp3,rasp2,50,0%,100.0%,7.547 ms,10000 ms,72.2 MBytes,7.55 MB/s (60.40 Mbps),27.3,4.46144,50.1,50,0%,100.0%,7.299 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),20,4.48832,51.6,50,0%,100.0%,25.958 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),25,4.32283,51.6,50,32%,68.0%,122.129 ms,75.00 MBytes,7.86 MB/s (62.90 Mbps),40,4.36567,52.1
rasp3,rasp2,100,0%,100.0%,7.476 ms,10000 ms,71.5 MBytes,7.47 MB/s (59.80 Mbps),28.6,4.39698,49.1,100,0%,100.0%,7.294 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),23.1,4.42694,49.6,100,0%,100.0%,28.200 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),50,4.36361,52.1,100,32%,68.0%,163.833 ms,73.80 MBytes,7.74 MB/s (61.90 Mbps),28.6,4.384,51.6
rasp3,rasp2,500,0%,100.0%,7.481 ms,10000 ms,70.1 MBytes,7.34 MB/s (58.70 Mbps),25,4.42828,48.2,500,0%,100.0%,7.399 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),25,4.42942,48.7,500,0%,100.0%,29.881 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),27.3,4.31923,49.6,500,36.2%,63.800000000000004%,159.587 ms,71.20 MBytes,7.47 MB/s (59.80 Mbps),28.6,4.38936,49.6
rasp3,rasp2,1000,0%,100.0%,7.531 ms,10000 ms,72.3 MBytes,7.56 MB/s (60.50 Mbps),27.3,4.46917,46.7,1000,0%,100.0%,7.345 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),40,4.46948,47.7,1000,0%,100.0%,26.803 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),25,4.34837,47.7,1000,35%,65.0%,137.560 ms,74.60 MBytes,7.83 MB/s (62.60 Mbps),14.3,4.37999,51.1
rasp3,rasp2,5000,0%,100.0%,7.479 ms,10000 ms,72.5 MBytes,7.59 MB/s (60.70 Mbps),14.3,4.47905,45.7,5000,0%,100.0%,7.302 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),16.7,4.52148,47.7,5000,0%,100.0%,26.415 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),22.2,4.45331,49.1,5000,33.5%,66.5%,148.763 ms,74.50 MBytes,7.81 MB/s (62.50 Mbps),33.3,4.40851,53.0
