Source Host,Destination Host,Packets Sent (No Load),Packet Loss (No Load),Packet Delivery Ratio (No Load),Delay (No Load),Test Duration (No Load),Bytes Sent (No Load),Throughput (No Load),CPU Usage (No Load),Memory Usage (No Load),Temperature (No Load),Packets Sent (Low Load),Packet Loss (Low Load),Packet Delivery Ratio (Low Load),Delay (Low Load),Bytes Transferred (Low Load),Throughput (Low Load),CPU Usage (Low Load),Memory Usage (Low Load),Temperature (Low Load),Packets Sent (Normal Load),Packet Loss (Normal Load),Packet Delivery Ratio (Normal Load),Delay (Normal Load),Bytes Transferred (Normal Load),Throughput (Normal Load),CPU Usage (Normal Load),Memory Usage (Normal Load),Temperature (Normal Load),Packets Sent (High Load),Packet Loss (High Load),Packet Delivery Ratio (High Load),Delay (High Load),Bytes Transferred (High Load),Throughput (High Load),CPU Usage (High Load),Memory Usage (High Load),Temperature (High Load)
rasp2,rasp1,10,0%,100.0%,7.815 ms,10000 ms,70.8 MBytes,7.40 MB/s (59.20 Mbps),30,4.52518,51.6,10,0%,100.0%,7.550 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),22.2,4.54836,52.5,10,0%,100.0%,26.558 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),25,4.45988,52.5,10,30%,70.0%,98.832 ms,73.60 MBytes,7.72 MB/s (61.80 Mbps),57.1,4.47193,53.0
rasp2,rasp1,50,0%,100.0%,7.864 ms,10000 ms,71.8 MBytes,7.51 MB/s (60.10 Mbps),16.7,4.55135,52.5,50,0%,100.0%,7.632 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),22.2,4.53662,52.1,50,0%,100.0%,27.100 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),25,4.50129,52.1,50,34%,66.0%,130.910 ms,72.40 MBytes,7.59 MB/s (60.70 Mbps),16.7,4.48274,53.5
rasp2,rasp1,100,0%,100.0%,7.978 ms,10000 ms,71.3 MBytes,7.46 MB/s (59.70 Mbps),22.2,4.55599,51.1,100,0%,100.0%,7.442 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),33.3,4.42712,53.5,100,0%,100.0%,26.371 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),28.6,4.45462,52.5,100,47%,53.0%,130.957 ms,73.50 MBytes,7.71 MB/s (61.70 Mbps),28.6,4.44988,53.0
rasp2,rasp1,500,0%,100.0%,8.038 ms,10000 ms,69.7 MBytes,7.29 MB/s (58.30 Mbps),27.3,4.56011,51.1,500,0%,100.0%,7.716 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),20,4.56701,52.1,500,0%,100.0%,27.752 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),14.3,4.50087,52.5,500,33.4%,66.60000000000001%,140.094 ms,72.10 MBytes,7.56 MB/s (60.50 Mbps),28.6,4.47564,53.0
rasp2,rasp1,10000,0%,100.0%,7.814 ms,10000 ms,70.9 MBytes,7.42 MB/s (59.40 Mbps),22.2,4.6009,50.6,10000,0%,100.0%,7.584 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),28.6,4.67228,50.1,10000,0.52%,99.48%,27.782 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),25,4.5804,54.0,10000,28.35%,71.65%,132.115 ms,72.50 MBytes,7.60 MB/s (60.80 Mbps),16.7,4.52807,56.9
rasp2,rasp1,5000,0%,100.0%,7.893 ms,10000 ms,71.7 MBytes,7.50 MB/s (60.00 Mbps),25,4.59338,48.2,5000,0%,100.0%,7.652 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),16.7,4.6182,46.2,5000,0%,100.0%,25.392 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),25,4.5496,49.6,5000,35.14%,64.86%,141.949 ms,72.10 MBytes,7.56 MB/s (60.50 Mbps),33.3,4.59441,53.5
rasp2,rasp1,1000,0%,100.0%,7.783 ms,10000 ms,71.5 MBytes,7.47 MB/s (59.80 Mbps),28.6,4.58318,48.2,1000,0%,100.0%,7.507 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),25,4.57566,49.1,1000,0%,100.0%,27.422 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),14.3,4.53796,48.7,1000,31.5%,68.5%,138.048 ms,72.00 MBytes,7.55 MB/s (60.40 Mbps),16.7,4.5019,52.5
rasp2,rasp3,5,0%,100.0%,7.650 ms,10000 ms,69.9 MBytes,7.31 MB/s (58.50 Mbps),25,4.50984,50.6,5,0%,100.0%,7.849 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),28.6,4.58133,51.6,5,0%,100.0%,27.848 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),33.3,4.55032,51.1,5,0%,100.0%,47.193 ms,72.90 MBytes,7.64 MB/s (61.10 Mbps),20,4.47564,52.1
rasp2,rasp3,10,0%,100.0%,7.998 ms,10000 ms,70.1 MBytes,7.34 MB/s (58.70 Mbps),30,4.52261,49.6,10,0%,100.0%,12.697 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),37.5,4.56598,51.1,10,0%,100.0%,26.562 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),25,4.46513,50.6,10,20%,80.0%,79.945 ms,72.20 MBytes,7.58 MB/s (60.60 Mbps),25,4.50396,53.0
rasp2,rasp3,50,0%,100.0%,7.836 ms,10000 ms,70.4 MBytes,7.36 MB/s (58.90 Mbps),28.6,4.5942,49.1,50,0%,100.0%,8.121 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),30,4.54579,49.1,50,0%,100.0%,26.652 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),16.7,4.46245,49.6,50,30%,70.0%,137.519 ms,72.40 MBytes,7.59 MB/s (60.70 Mbps),25,4.46534,50.6
rasp2,rasp3,100,0%,100.0%,7.919 ms,10000 ms,70.6 MBytes,7.39 MB/s (59.10 Mbps),30,4.5429,48.7,100,0%,100.0%,7.938 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),22.2,4.57793,48.7,100,0%,100.0%,26.031 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),28.6,4.46791,49.6,100,40%,60.0%,136.746 ms,72.10 MBytes,7.56 MB/s (60.50 Mbps),16.7,4.45503,50.1
rasp2,rasp3,1000,0%,100.0%,8.072 ms,10000 ms,70.3 MBytes,7.35 MB/s (58.80 Mbps),30,4.66786,48.7,1000,0%,100.0%,7.831 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),22.2,4.69237,48.2,1000,0%,100.0%,25.769 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),36.4,4.666,50.1,1000,29.3%,70.7%,130.336 ms,71.80 MBytes,7.53 MB/s (60.20 Mbps),20,4.57267,51.6
rasp2,rasp3,5000,0%,100.0%,8.034 ms,10000 ms,69.4 MBytes,7.26 MB/s (58.10 Mbps),30,4.72214,49.6,5000,0%,100.0%,7.810 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),25,4.71668,49.1,5000,0.04%,99.96000000000001%,27.098 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),16.7,4.69526,51.6,5000,37.58%,62.419999999999995%,144.080 ms,73.10 MBytes,7.66 MB/s (61.30 Mbps),33.3,4.71514,56.0
rasp2,rasp3,10000,0%,100.0%,8.156 ms,10000 ms,70.0 MBytes,7.33 MB/s (58.60 Mbps),22.2,4.63129,49.6,10000,0%,100.0%,8.077 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),16.7,4.61285,48.7,10000,0.05%,99.95%,29.665 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),22.2,4.67898,53.0,10000,38.04%,61.96%,150.070 ms,71.60 MBytes,7.51 MB/s (60.10 Mbps),25,4.69351,57.9
rasp2,rasp3,500,0%,100.0%,7.760 ms,10000 ms,71.1 MBytes,7.45 MB/s (59.60 Mbps),55.6,4.48728,49.6,500,0%,100.0%,7.885 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),22.2,4.47677,50.1,500,0%,100.0%,26.334 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),16.7,4.33606,50.6,500,29.2%,70.8%,130.935 ms,73.00 MBytes,7.65 MB/s (61.20 Mbps),25,4.34399,52.1
